"","YawRate","Rolling","Rudder"
"1",-2.92,-1.39,-6.89
"2",-2.63,-2.34,-6.25
"3",-1.48,-2.46,-6.12
"4",-0.45,-1.58,-6.81
"5",0,-2.35,-7.62
"6",0.03,-1.69,-7.65
"7",0.06,-0.47,-5.33
"8",-0.48,1.9,-2.82
"9",-0.88,2.99,-0.99
"10",-1.58,5.02,1.06
"11",-3.06,5.88,1.36
"12",-2.66,6.26,1.16
"13",-0.16,6,0.69
"14",1.56,3.84,-2.35
"15",1.74,1.12,-4.58
"16",0.55,-0.33,-4.65
"17",-1.13,-1.6,-5.28
"18",-3.13,-1.79,-6.11
"19",-3.48,-1.08,-6.64
"20",-2.27,-0.66,-7.23
"21",-1,0.64,-7.37
"22",0.29,1.81,-7.21
"23",0.4,2.07,-7.05
"24",-0.55,1.81,-5.21
"25",-1.68,2.54,-1.36
"26",-1.27,4.25,-0.26
"27",-0.35,4.4,0.64
"28",-0.74,3.82,0.26
"29",-1.3,3.31,0.47
"30",-1.3,2.32,0.82
"31",-0.49,0.97,-0.55
"32",0.58,-0.69,-1.93
"33",0.72,-1.48,-4.06
"34",-1.11,-1.45,-6.16
"35",-2.43,-0.4,-6.77
"36",-1.91,1.03,-7.56
"37",-1.36,1.91,-8.4
"38",-0.71,3.29,-8.37
"39",-0.81,3.89,-7.69
"40",-1.32,3.91,-4.69
"41",-2.25,4.39,-0.96
"42",-2.71,4.93,-0.22
"43",-2.25,5.18,-0.16
"44",-2.2,5.33,0.05
"45",-1.69,5.11,-0.4
"46",-0.51,3.65,-0.37
"47",1.21,1.89,0.11
"48",1.36,-0.6,-0.73
"49",-0.31,-2.23,-0.81
"50",-1.58,-2.98,-1.72
"51",-1.45,-3.03,-2.56
"52",-1.48,-3,-3.36
"53",-1.72,-1.41,-3.59
"54",-3.3,0.13,-3.93
"55",-1.68,2.08,-4.17
"56",-0.21,3.17,-3.97
"57",0.06,4.38,-3.84
"58",-0.55,5.32,-2.3
"59",-2.64,6.39,-2.92
"60",-4.53,7.17,-3.59
"61",-2.73,7.78,-4.13
"62",0.56,7.73,-4.08
"63",2.88,7.34,-4.06
"64",3.92,6.09,-4.25
"65",3.07,4.54,-3.92
"66",1.87,2.6,-4.4
"67",0.49,0.76,-4.8
"68",-0.02,-0.64,-5.19
"69",-0.55,-1.33,-3.4
"70",-1.39,-1.68,-3
"71",-1.48,-1.13,-2.04
"72",-1.13,-0.97,-1.55
"73",-0.45,-0.83,-1.28
"74",-1.42,-0.94,-1.13
"75",-2.12,-0.22,0.45
"76",-0.65,0.49,1.05
"77",0.16,1.08,0.62
"78",-0.88,1.5,0.05
"79",-2.81,2.56,-0.57
"80",-2.92,4.42,-0.44
"81",-1.82,4.2,-0.14
"82",-1.88,4.04,0.06
"83",-1.63,3.3,1.19
"84",-1.32,2.06,-1.03
"85",-1.28,0.93,-2.43
"86",-1.5,0.54,-4.32
"87",-2.36,1.16,-4.31
